Id,SalePrice
1461,232903.33809307058
1462,44446.7351751255
1463,388376.10304490116
1464,260644.9736506002
1465,101002.29101391426
1466,502943.6263365584
1467,4420.5817361542795
1468,170096.40048361378
1469,170053.93188437272
1470,40673.320348629655
1471,576125.5960160899
1472,9082376.254043411
1473,819782.4096541173
1474,11971.241939362722
1475,22978.50672523883
1476,7037350.450987453
1477,40907.68825492412
1478,1684383.2242376925
1479,11322595.000372926
1480,225296.581395921
1481,22632.37678837174
1482,68760.08657047377
1483,317842.03886098444
1484,317749.7333687784
1485,93643.02723674386
1486,1431970.4873826911
1487,10835682.561014097
1488,276560.875790131
1489,37025.25142245991
1490,20563.133429945225
1491,2960737.7867678893
1492,25799.261803080524
1493,2534024.1459338553
1494,1799539.7229161416
1495,346746.3635308707
1496,205140.9566236148
1497,3317749.357489921
1498,1972430.6556372445
1499,93386.3277608547
1500,90241.78510008505
1501,302356.78159698634
1502,97545.14852140611
1503,57853293.48170023
1504,444694.89722074143
1505,42029.92513431073
1506,226138.73278803183
1507,11795.580118590782
1508,51148.35098085818
1509,136608.68412032886
1510,60091.07828304537
1511,15120.14835360226
1512,189294.11260698873
1513,70122.90214102282
1514,22756493.215172127
1515,258896.15380532327
1516,714228.4695126392
1517,968214.628412918
1518,55650.01834578981
1519,116204.99477065238
1520,31791.93084712606
1521,232773.8273431966
1522,58347.6019002817
1523,153513.57425719674
1524,2047753.328740544
1525,16105.815968056851
1526,58392.97082633072
1527,88286.91177834738
1528,1571126.5394743283
1529,1563860.9637329674
1530,27298789.603117246
1531,4308097.090163054
1532,1013288.6790739229
1533,37025.41314988315
1534,220483.97811158258
1535,43910.07029109142
1536,43564.71104155607
1537,4884.208374333633
1538,8711322.548509177
1539,39950068.4475017
1540,1603.569186472337
1541,4667970.244928221
1542,5302.566137807391
1543,44819.41413862043
1544,2910.266854411459
1545,1431475.4158096986
1546,6931.719304893778
1547,177947.20842410272
1548,1460223.7475465965
1549,736138.622251064
1550,58.121040036326654
1551,28776.238272582166
1552,444.33234530198587
1553,5787686.822919464
1554,101404.43024020056
1555,386391.1881875917
1556,58451208.61715532
1557,759817.9868091476
1558,131649.21059088287
1559,963763.6643642007
1560,7474.270894423083
1561,1035712.0134710288
1562,32005.095796510832
1563,33665.66883812205
1564,8984.567016934712
1565,913488.6034003883
1566,10847566.990592608
1567,15445.02494452295
1568,245031.44347511898
1569,11894.457801350616
1570,101636.39086081725
1571,1526700.0767282655
1572,434211.2492887973
1573,983243.5790155085
1574,60772.22413772066
1575,536270.2928963552
1576,4764792.085362967
1577,193305.27572365725
1578,10590737.525705013
1579,16740.180386504897
1580,95264.06215826866
1581,90227925.2177462
1582,108561.14836315905
1583,706398.6417184299
1584,213200.01205924168
1585,119688.8964555992
1586,72215540.63150042
1587,1035639.8473388598
1588,49723.314203325695
1589,630316.9267367767
1590,73514.65538415071
1591,28504.996535992595
1592,134995.56469507437
1593,129544.41919377688
1594,3234418.9898829963
1595,25311.624832940983
1596,3040078.1977794897
1597,5921149.576892475
1598,94825.17738497633
1599,1150053.1214117068
1600,2214606.5843441514
1601,491150.2511591253
1602,59327.548480942656
1603,25638.021788638696
1604,3144454.535212153
1605,109230.44419604918
1606,8149.522640038619
1607,1599685.1976168845
1608,181546.59392968062
1609,1462325.9944660545
1610,36595163.58808127
1611,335311.6858460174
1612,35278.90352434434
1613,15871.84988378892
1614,148844.86690362275
1615,133877.34583610113
1616,882407.785686973
1617,1489877.2575157175
1618,136285.01251634758
1619,61896.78543501802
1620,7315503.462706217
1621,170804.99164821187
1622,115589.63306231354
1623,52225.98288033888
1624,60186.635916620406
1625,258092.10317616558
1626,6870.205119000205
1627,33107.10028002651
1628,633820.8921975986
1629,14587.402797302704
1630,6141500.856947266
1631,200917.80356405224
1632,3322521.2707099454
1633,243886.55128263214
1634,87194.01173709372
1635,16431.91652013686
1636,7328.231969721183
1637,332833.3506402682
1638,8638134.642660104
1639,217147.8663690617
1640,10228958.890023496
1641,653711.4347693278
1642,103034.34036342868
1643,437830.22430251195
1644,60566.5043811563
1645,6568026.813004419
1646,14756.010970539943
1647,210680.83103948858
1648,87228.9847223544
1649,110826.56518227894
1650,17145.464563299123
1651,76302.9561557742
1652,1210078.553513699
1653,7107596.887819832
1654,64430.35834278393
1655,45082.191426823294
1656,2281.1702898592976
1657,184724.4620818379
1658,176086.96470022033
1659,273283.74285652867
1660,13470.710384708638
1661,6367388.6159857465
1662,74841.52264695971
1663,47724.93767657052
1664,101611.42742880092
1665,319862.38845422753
1666,66345.77533623642
1667,680673.3266873553
1668,11703.96518171811
1669,194656.11524180791
1670,46913.308184846595
1671,24594.48277418014
1672,104234.8634393192
1673,1817450.382411473
1674,245025.4903832671
1675,14858.459699542336
1676,2810.4319214043026
1677,102953.25025721286
1678,15893000.269851422
1679,199714.98269435312
1680,367869.7646608944
1681,968631.8950459409
1682,44471.63973552367
1683,14530.999899912202
1684,460686.7844403721
1685,118686.94398882965
1686,59006.542255303466
